t,x,y
20.700000,-59.065361,-7.072021
20.800000,-59.301979,-6.754044
20.900000,-59.531742,-6.431201
21.000000,-59.753994,-6.103971
21.100000,-59.969940,-5.771449
21.200000,-60.179363,-5.434348
21.300000,-60.381939,-5.092609
21.400000,-60.577053,-4.746459
21.500000,-60.764435,-4.395535
21.600000,-60.943817,-4.040501
21.700000,-61.115540,-3.681541
21.800000,-61.279736,-3.319145
21.900000,-61.436031,-2.954154
22.000000,-61.584217,-2.585627
22.100000,-61.723129,-2.214688
22.200000,-61.852829,-1.840474
22.300000,-61.972939,-1.463262
22.400000,-62.082470,-1.083608
22.500000,-62.181381,-0.700629
22.600000,-62.270264,-0.315116
22.700000,-62.350018,0.072021
22.800000,-62.421413,0.460963
22.900000,-62.485199,0.851111
23.000000,-62.542183,1.242978
23.100000,-62.592258,1.635792
23.200000,-62.634701,2.029260
23.300000,-62.669548,2.422478
23.400000,-62.697571,2.815468
23.500000,-62.718781,3.209317
23.600000,-62.732719,3.603473
23.700000,-62.739063,3.997644
23.800000,-62.737549,4.392527
23.900000,-62.727455,4.786543
24.000000,-62.708565,5.179987
24.100000,-62.681118,5.572671
24.200000,-62.645374,5.964745
24.300000,-62.601151,6.355580
24.400000,-62.548023,6.745107
24.500000,-62.486313,7.132492
24.600000,-62.415997,7.518613
24.700000,-62.336712,7.903501
24.800000,-62.248909,8.286443
24.900000,-62.152485,8.667284
25.000000,-62.047207,9.044985
25.100000,-61.933304,9.420031
25.200000,-61.810390,9.793033
25.300000,-61.678638,10.162892
25.400000,-61.537773,10.530488
25.500000,-61.388092,10.894320
25.600000,-61.228992,11.254448
25.700000,-61.060432,11.609759
25.800000,-60.882294,11.960577
25.900000,-60.694660,12.306620
26.000000,-60.497818,12.647095
26.100000,-60.292358,12.981756
26.200000,-60.077927,13.312774
26.300000,-59.856285,13.639088
26.400000,-59.629227,13.960147
26.500000,-59.397518,14.277289
26.600000,-59.161549,14.591634
26.700000,-58.922546,14.903203
26.800000,-58.681141,15.213662
26.900000,-58.438126,15.523429
27.000000,-58.194649,15.832648
27.100000,-57.951733,16.141943
27.200000,-57.709270,16.450951
27.300000,-57.466961,16.759556
27.400000,-57.225208,17.067701
27.500000,-56.983337,17.376099
27.600000,-56.740696,17.685165
27.700000,-56.498352,17.993565
27.800000,-56.256290,18.301680
27.900000,-56.014690,18.609386
28.000000,-55.774212,18.916691
28.100000,-55.535904,19.223694
28.200000,-55.299412,19.531443
28.300000,-55.064655,19.841442
28.400000,-54.832832,20.153456
28.500000,-54.603897,20.468235
28.600000,-54.378426,20.785368
28.700000,-54.156273,21.106005
28.800000,-53.938389,21.429764
28.900000,-53.724976,21.756397
29.000000,-53.515137,22.087002
29.100000,-53.309982,22.420357
29.200000,-53.109982,22.756144
29.300000,-52.914711,23.094816
29.400000,-52.724567,23.436440
29.500000,-52.539684,23.781664
29.600000,-52.360870,24.129574
29.700000,-52.187870,24.480890
29.800000,-52.020935,24.835691
29.900000,-51.860367,25.193199
30.000000,-51.706005,25.553564
30.100000,-51.558319,25.916304
30.200000,-51.416672,26.282820
30.300000,-51.281044,26.651340
30.400000,-51.150551,27.021454
30.500000,-51.024414,27.392500
30.600000,-50.901951,27.764614
30.700000,-50.783112,28.137913
30.800000,-50.667469,28.512642
30.900000,-50.555195,28.888083
31.000000,-50.446339,29.264425
31.100000,-50.340450,29.640923
31.200000,-50.237221,30.017748
31.300000,-50.136002,30.396530
31.400000,-50.036335,30.776279
31.500000,-49.938232,31.156038
31.600000,-49.842037,31.535540
31.700000,-49.748432,31.915133
31.800000,-49.657700,32.295444
31.900000,-49.570065,32.676487
32.000000,-49.486179,33.057957
32.100000,-49.405972,33.439598
32.200000,-49.328690,33.822609
32.300000,-49.253937,34.206314
32.400000,-49.181732,34.590260
32.500000,-49.112309,34.974632
32.600000,-49.045959,35.359276
32.700000,-48.982853,35.742939
32.800000,-48.922379,36.127075
32.900000,-48.864788,36.511131
33.000000,-48.809723,36.895042
