t, 118.55584436783101, ax, -35.438079833984375, ay, 298.97344970703125, wz, 0.32714980840682983
t, 118.65484436729457, ax, 18.545516967773438, ay, 135.64291381835938, wz, 0.2814194858074188
t, 118.75384436675813, ax, -26.080612182617188, ay, 173.99429321289062, wz, 0.35929548740386963
t, 118.85284436622169, ax, -19.509185791015625, ay, 268.2757873535156, wz, 0.32957637310028076
t, 118.95184436568525, ax, 13.647300720214844, ay, 118.03870391845703, wz, 0.2814472019672394
t, 119.0508443651488, ax, -34.41326904296875, ay, 199.07815551757812, wz, 0.3495536148548126
t, 119.15809436456766, ax, 486.084716796875, ay, 254.50384521484375, wz, 0.3040628433227539
t, 119.25709436403122, ax, -486.0804138183594, ay, 80.88156127929688, wz, 0.25863149762153625
t, 119.35609436349478, ax, -23.610076904296875, ay, 127.16717529296875, wz, 0.3167717754840851
t, 119.45509436295833, ax, -15.617095947265625, ay, 257.8568420410156, wz, 0.30041027069091797
t, 119.55409436242189, ax, 14.758872985839844, ay, 105.72235870361328, wz, 0.25250616669654846
t, 119.65309436188545, ax, -14.609809875488281, ay, 71.72300720214844, wz, 0.21094928681850433
t, 119.75209436134901, ax, -7.083183288574219, ay, 58.44068145751953, wz, 0.17662812769412994
t, 119.85109436081257, ax, 2.9845199584960938, ay, 48.67548370361328, wz, 0.14772549271583557
t, 119.95009436027613, ax, -2.2102088928222656, ay, 40.5090217590332, wz, 0.12340712547302246
t, 120.05734435969498, ax, 487.91326904296875, ay, 48.16278076171875, wz, 0.10164760053157806
t, 120.15634435915854, ax, -490.580322265625, ay, 20.638671875, wz, 0.08504350483417511
t, 120.2553443586221, ax, -0.43551063537597656, ay, 23.56195068359375, wz, 0.07120253890752792
t, 120.35434435808565, ax, -0.9802074432373047, ay, -15.19289493560791, wz, -0.010462725535035133
t, 120.45334435754921, ax, 0.682342529296875, ay, -115.08016967773438, wz, -0.027809230610728264
t, 120.55234435701277, ax, 1.273162841796875, ay, -19.69513702392578, wz, -0.023420343175530434
t, 120.65134435647633, ax, -1.0714430809020996, ay, -7.327303886413574, wz, -0.01940303109586239
t, 120.75034435593989, ax, -0.19464826583862305, ay, -5.141888618469238, wz, -0.01608436554670334
t, 120.85759435535874, ax, 491.343505859375, ay, -6.108642578125, wz, -0.013142306357622147
t, 120.9565943548223, ax, -491.06915283203125, ay, -2.4444580078125, wz, -0.01093831192702055
t, 121.05559435428586, ax, -0.09918475151062012, ay, -2.90366792678833, wz, -0.009084928780794144
t, 121.15459435374942, ax, 0.07381010055541992, ay, -2.4598045349121094, wz, -0.0076169283129274845
t, 121.25359435321297, ax, 0.03599905967712402, ay, -2.092944622039795, wz, -0.0063681695610284805
t, 121.35259435267653, ax, -0.07191586494445801, ay, -1.7707537412643433, wz, -0.005363951437175274
t, 121.45159435214009, ax, 0.021155476570129395, ay, -1.5555059909820557, wz, -0.004503412172198296
