SteeringAngle, 0.0, Speed, 0.08084999769926071, Rotation, -179.99996948242188
SteeringAngle, -1.3189871311187744, Speed, 0.16169999539852142, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 0.24255000054836273, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 0.32339999079704285, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 0.40424999594688416, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 0.4850999712944031, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 0.5659499764442444, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 0.6467999815940857, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 0.727649986743927, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 0.8084999918937683, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 0.8893499374389648, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 0.9701999425888062, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 1.0510499477386475, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 1.1318999528884888, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 1.21274995803833, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 1.2935999631881714, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 1.3744500875473022, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 1.4553000926971436, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 1.5361502170562744, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 1.6170002222061157, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 1.6978503465652466, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 1.778700351715088, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 1.8595504760742188, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 1.94040048122406, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 2.0212504863739014, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 2.1021006107330322, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 2.182950735092163, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 2.263800859451294, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 2.3446507453918457, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 2.4255008697509766, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 2.5063509941101074, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 2.587200880050659, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 2.668050765991211, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 2.7489006519317627, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 2.8297505378723145, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 2.910600423812866, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 2.991450548171997, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 3.072300434112549, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 3.1531503200531006, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 3.2340002059936523, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 3.314850091934204, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 3.395699977874756, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 3.4765498638153076, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 3.5573997497558594, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 3.638249635696411, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 3.719099760055542, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 3.7999496459960938, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 3.8807995319366455, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 3.9616494178771973, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 4.04249906539917, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 4.123349189758301, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 4.204199314117432, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 3.963531732559204, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 3.423907041549683, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 2.949140310287477, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 2.5259163379669216, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 2.1492087841033993, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 1.814452171325693, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 1.517500758171091, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 1.2864712476730544, Rotation, -179.99996948242188
SteeringAngle, -0.9424365162849426, Speed, 0.05248169525881183, Rotation, -179.99996948242188
SteeringAngle, -0.9423682689666748, Speed, 0.09578117377025733, Rotation, -179.9999542236328
SteeringAngle, -0.9430851340293884, Speed, 0.1315473238573076, Rotation, -179.9999542236328
SteeringAngle, -0.9421924352645874, Speed, 0.16151416861425238, Rotation, -179.99996948242188
SteeringAngle, -0.9431065917015076, Speed, 0.18632840081913932, Rotation, -179.9999542236328
SteeringAngle, -0.9422104358673096, Speed, 0.2065786332072007, Rotation, -179.9999542236328
SteeringAngle, -0.9424182176589966, Speed, 0.22280368159054725, Rotation, -179.9999542236328
SteeringAngle, -0.9431276321411133, Speed, 0.23548078743189196, Rotation, -179.9999542236328
SteeringAngle, -0.942931592464447, Speed, 0.24505479903113422, Rotation, -179.9999542236328
SteeringAngle, -0.9436387419700623, Speed, 0.25191043793783935, Rotation, -179.9999542236328
SteeringAngle, -0.9427379965782166, Speed, 0.2563994492387429, Rotation, -179.9999542236328
SteeringAngle, -0.9422336220741272, Speed, 0.2588339679522894, Rotation, -179.9999542236328
SteeringAngle, -0.9438392519950867, Speed, 0.2594943582810096, Rotation, -179.9999542236328
SteeringAngle, -0.9434360265731812, Speed, 0.25862976984840724, Rotation, -179.9999542236328
SteeringAngle, -0.9434347748756409, Speed, 0.25648278328195, Rotation, 179.9999542236328
SteeringAngle, -0.9433832168579102, Speed, 0.3286220554678045, Rotation, 179.99935913085938
SteeringAngle, -0.9384785294532776, Speed, 0.3745113373814188, Rotation, 179.99899291992188
SteeringAngle, -0.9376862049102783, Speed, 0.4242589449406765, Rotation, 179.9985809326172
SteeringAngle, -0.934444010257721, Speed, 0.5642890699291921, Rotation, -179.9956817626953
SteeringAngle, -0.9454628229141235, Speed, 0.6425581403825363, Rotation, -179.9940185546875
SteeringAngle, -0.9450166821479797, Speed, 0.7178676228932822, Rotation, -179.99562072753906
SteeringAngle, -0.9401631355285645, Speed, 0.7945084070893279, Rotation, 179.99551391601562
SteeringAngle, -0.9199651479721069, Speed, 0.8343091346004607, Rotation, 179.99057006835938
SteeringAngle, -0.9135724306106567, Speed, 0.8996919568840226, Rotation, 179.98716735839844
SteeringAngle, -0.9085727334022522, Speed, 1.0117738559281768, Rotation, 179.9840545654297
SteeringAngle, -0.9029998183250427, Speed, 1.0884003899167236, Rotation, 179.98019409179688
SteeringAngle, -0.8947920203208923, Speed, 1.144407090622415, Rotation, 179.97694396972656
SteeringAngle, -0.8898547887802124, Speed, 1.2224922612326865, Rotation, 179.9761505126953
SteeringAngle, -0.8889450430870056, Speed, 1.24246548472175, Rotation, 179.96728515625
SteeringAngle, -0.8703162670135498, Speed, 1.3232914531456308, Rotation, 179.96527099609375
SteeringAngle, -0.871427059173584, Speed, 1.3352919400775671, Rotation, 179.9661865234375
SteeringAngle, -0.8742188811302185, Speed, 1.3997459990103363, Rotation, 179.9598846435547
SteeringAngle, -0.8601953387260437, Speed, 1.433746211099945, Rotation, 179.96484375
SteeringAngle, -0.874057948589325, Speed, 1.472718911893713, Rotation, 179.959716796875
SteeringAngle, -0.8608800768852234, Speed, 1.506437436276803, Rotation, 179.96490478515625
SteeringAngle, -0.8767693638801575, Speed, 1.5501453558645948, Rotation, 179.95887756347656
SteeringAngle, -0.8576664924621582, Speed, 1.5818617461842834, Rotation, 179.9606475830078
SteeringAngle, -0.8678064942359924, Speed, 1.6336337088932564, Rotation, 179.95706176757812
SteeringAngle, -0.8585856556892395, Speed, 1.6492748334707017, Rotation, 179.958984375
SteeringAngle, -0.8638163208961487, Speed, 1.7136688389070698, Rotation, 179.952880859375
SteeringAngle, -0.8501192331314087, Speed, 1.7346984730097192, Rotation, 179.9550323486328
SteeringAngle, -0.8596502542495728, Speed, 1.7846413798331, Rotation, 179.95059204101562
SteeringAngle, -0.8497059345245361, Speed, 1.8014948553856844, Rotation, 179.95233154296875
SteeringAngle, -0.8558797240257263, Speed, 1.8574933238620213, Rotation, 179.94642639160156
SteeringAngle, -0.8420670628547668, Speed, 1.8779761710550578, Rotation, 179.9478759765625
SteeringAngle, -0.8509216904640198, Speed, 1.928359610697059, Rotation, 179.94248962402344
SteeringAngle, -0.8367385864257812, Speed, 1.947891742934746, Rotation, 179.9435577392578
SteeringAngle, -0.8441792726516724, Speed, 2.000145275399722, Rotation, 179.93751525878906
SteeringAngle, -0.8303267359733582, Speed, 2.0213298043448398, Rotation, 179.93814086914062
SteeringAngle, -0.8355711698532104, Speed, 2.0721870124511503, Rotation, 179.93197631835938
SteeringAngle, -0.8222914338111877, Speed, 2.0943772862722625, Rotation, 179.9322052001953
SteeringAngle, -0.8283045291900635, Speed, 2.1451391765074797, Rotation, 179.92575073242188
SteeringAngle, -0.8132412433624268, Speed, 2.1687701409843907, Rotation, 179.92544555664062
SteeringAngle, -0.8174619078636169, Speed, 2.2190889452154123, Rotation, 179.91879272460938
SteeringAngle, -0.8044320344924927, Speed, 2.244334463154825, Rotation, 179.91802978515625
SteeringAngle, -0.8074876070022583, Speed, 2.294246709157368, Rotation, 179.9111785888672
SteeringAngle, -0.7945736646652222, Speed, 2.3213413068613034, Rotation, 179.90992736816406
SteeringAngle, -0.7961095571517944, Speed, 2.370805626365545, Rotation, 179.90284729003906
SteeringAngle, -0.7827423214912415, Speed, 2.4000076536055435, Rotation, 179.9011688232422
SteeringAngle, -0.7844932079315186, Speed, 2.44896480597291, Rotation, 179.89385986328125
SteeringAngle, -0.7694261074066162, Speed, 2.480634637633873, Rotation, 179.89166259765625
SteeringAngle, -0.7700487971305847, Speed, 2.5289483642016592, Rotation, 179.88421630859375
SteeringAngle, -0.7568211555480957, Speed, 2.563382012219421, Rotation, 179.88162231445312
SteeringAngle, -0.7561811804771423, Speed, 2.610824070138276, Rotation, 179.8739471435547
SteeringAngle, -0.7414008975028992, Speed, 2.6484723316263974, Rotation, 179.87112426757812
SteeringAngle, -0.741176426410675, Speed, 2.6943325570796115, Rotation, 179.86309814453125
SteeringAngle, -0.7270090579986572, Speed, 2.7352014680379497, Rotation, 179.86009216308594
SteeringAngle, -0.7265224456787109, Speed, 2.778967059872114, Rotation, 179.85174560546875
SteeringAngle, -0.7104916572570801, Speed, 2.822220198058958, Rotation, 179.84841918945312
SteeringAngle, -0.7096145749092102, Speed, 2.866826405541435, Rotation, 179.84046936035156
SteeringAngle, -0.695216178894043, Speed, 2.9127945510151156, Rotation, 179.8361053466797
SteeringAngle, -0.6912551522254944, Speed, 2.959182920503782, Rotation, 179.8289337158203
SteeringAngle, 0.5014682412147522, Speed, 3.005782356401442, Rotation, 179.8272247314453
SteeringAngle, 0.1655062735080719, Speed, 3.052446350033308, Rotation, 179.82546997070312
SteeringAngle, 0.1678871363401413, Speed, 3.099113214970475, Rotation, 179.82546997070312
SteeringAngle, 0.17022593319416046, Speed, 3.1457301653627314, Rotation, 179.82566833496094
SteeringAngle, 0.16557559370994568, Speed, 3.1923292312481486, Rotation, 179.82647705078125
SteeringAngle, 0.17336955666542053, Speed, 3.2388995733532595, Rotation, 179.82752990722656
SteeringAngle, 0.16779276728630066, Speed, 3.2854329447275727, Rotation, 179.82882690429688
SteeringAngle, 0.16513493657112122, Speed, 3.33192824736481, Rotation, 179.83026123046875
SteeringAngle, 0.1588457077741623, Speed, 3.3783819915783164, Rotation, 179.83181762695312
